spore,sc_count,sc_pe,can_pe,mr,low,high,can_counts,,,,,,,
17,22,1E-06,0.9,0,0,0,1,0,0,1,1,1,0,3
33,26,1E-06,0.9,0,0,0,1,4,1,2,1,0,4,0
249,75,1E-06,0.9,0,0,0,14,12,4,4,22,2,2,9
22,35,1E-06,0.9,0,0,0,4,3,209,0,0,6,1,7
346,57,1E-06,0.9,0,0,0,2,51,9,4,6,5,0,20
181,25,1E-06,0.9,0,0,0,0,21,64,0,1,1,1,5
81,45,1E-06,0.9,0,0,0,5,13,3,2,6,1,8,9
77,44,1E-06,0.9,0,0,0,5,227,0,11,2,5,26,4
134,37,1E-06,0.9,0,0,0,6,3,13,11,2,2,10,0
205,68,1E-06,0.9,0,0,0,10,11,7,7,5,11,5,42
140,29,1E-06,0.9,0,0,0,8,3,3,15,92,2,1,0
71,41,1E-06,0.9,0,0,0,0,9,3,13,35,14,9,2
6,20,1E-06,0.9,0,0,0,0,2,0,5,6,2,2,15
209,47,1E-06,0.9,0,0,0,3,16,4,6,9,8,8,16
135,46,1E-06,0.9,0,0,0,7,17,3,9,10,7,5,7
344,42,1E-06,0.9,0,0,0,16,6,12,12,11,4,1,5
292,67,1E-06,0.9,0,0,0,13,17,11,22,12,175,13,4
30,27,1E-06,0.9,0,0,0,8,0,3,34,4,13,3,2
203,46,1E-06,0.9,0,0,0,15,9,3,6,51,12,4,8
39,32,1E-06,0.9,0,0,0,5,4,3,10,4,7,3,11
175,51,1E-06,0.9,0,0,0,60,3,10,17,12,95,8,5
226,71,1E-06,0.9,0,0,0,21,8,12,18,35,16,22,37
111,31,1E-06,0.9,0,0,0,10,4,22,8,6,3,4,9
172,35,1E-06,0.9,0,0,0,1,11,34,16,17,13,13,9
325,43,1E-05,0.9,0,0,0,4,1,3,8,5,0,0,0
49,21,1E-05,0.9,0,0,0,1,0,2,0,0,1,0,5
61,36,1E-05,0.9,0,0,0,9,7,0,32,0,0,13,0
116,18,1E-06,0.9,0,0,0,24,16,17,9,179,17,8,22
70,25,1E-05,0.9,0,0,0,0,1,0,2,0,33,3,3
41,15,1E-05,0.9,0,0,0,0,3,4,0,0,2,3,3
324,28,1E-05,0.9,0,0,0,3,3,1,3,2,120,2,16
